Trace,IPC,Loads,Stores,Load Misses,Store Misses
1,0.895156,9778568,5668844,8247338,4346351
2,0.886742,8251392,4740061,7691781,4247476
3,0.337894,8199937,4922432,6543377,3356493
4,0.759314,9382654,5550523,7405667,3830837
5,0.767768,9147954,5371753,7184569,3698394
6,0.811208,9276738,5482413,7764409,4132806
7,0.877862,9782633,5658338,8249066,4335802
8,0.777891,9349203,5555139,7472170,3861892
9,1.08338,9675823,5204489,7258542,2925409
10,0.338397,8202416,4924478,6542098,3355415
11,0.770003,9357893,5533759,7462242,3887108
12,0.835757,9305994,4050065,7484334,2364120
13,0.766889,9154137,5376206,7196525,3707644
14,0.757214,9399455,5572672,7367905,3787611
15,0.779223,9148040,5369575,7173315,3687147
16,0.933559,9220789,3848362,7534901,2296742
17,0.766522,9145242,5369028,7176672,3697012
18,0.823888,9160964,5395804,6760500,3439813
19,0.780856,9139107,5364406,7163607,3684384
20,0.902259,9776202,5669201,8240748,4345166
21,0.866203,9316126,4099744,7449763,2385599
22,0.803793,9274990,5486951,7773524,4153472
23,0.796978,9360636,5566432,7479083,3868844
24,0.76525,9361972,5536217,7448957,3870516
25,0.772777,9383448,5586811,7505036,3880814
26,0.818844,9154637,5394883,6764275,3446307
27,0.781906,9147240,5369912,7173785,3688700
28,0.778618,9361335,5571445,7501052,3887161
29,0.821361,9169109,5406776,6750963,3429476
30,0.801726,9272957,5486724,7770232,4147258
31,0.777475,9360668,5565540,7492702,3875080
32,0.882739,9301784,4077808,7428697,2357761
33,0.798519,9274405,5484356,7772340,4145639
34,0.832045,8995541,5092037,8373908,4514385
35,0.794626,9393216,5584417,7531783,3895622
36,0.789985,9360856,5570168,7493227,3880388
37,0.799067,9275381,5486240,7778375,4152220
38,0.76646,9160995,5383294,7155036,3666054
39,0.75399,9336646,5511158,7532466,3949806
40,0.809053,9158235,5398213,6777776,3456088
41,0.876594,9293382,3979347,7505275,2323014
42,0.798211,9274832,5485716,7771079,4145630
43,1.08574,9680120,5206218,7263566,2928604
44,0.924196,9196555,3869404,7501525,2313954
45,0.918111,9190424,3842586,7515118,2306300
47,0.813788,9163451,5400627,6792051,3465441
48,0.873626,9289498,3978583,7507894,2329287
49,0.796628,9274560,5487636,7776024,4152310
50,0.775514,9371041,5576654,7514533,3890980
51,0.835339,9001047,5095255,8367847,4507503
52,0.760211,9370668,5544351,7428961,3848931
53,0.77342,9360060,5571127,7502028,3887088
54,0.74929,9380924,5559300,7383761,3816773
55,0.811498,9164602,5399896,6787979,3462377
56,0.922504,9206091,3908305,7472190,2314071
57,0.797751,9273829,5486695,7775133,4151438
58,0.33071,8259000,4922422,6511745,3293155
59,0.788417,9358859,5565775,7487486,3873449
60,0.808733,9273465,5486179,7777495,4153092
