Trace,IPC,Loads,Stores,Load Misses,Store Misses
1,0.892066,9778568,5668844,8247370,4346357
2,0.886275,8251392,4740061,7691781,4247476
3,0.337616,8199937,4922432,6543377,3356493
4,0.756955,9382643,5550516,7406219,3830835
5,0.768706,9147954,5371753,7184569,3698394
6,0.809362,9276738,5482413,7764409,4132806
7,0.874257,9782633,5658338,8249080,4335802
8,0.774728,9349223,5555156,7472775,3861905
9,1.08317,9675823,5204489,7258542,2925409
10,0.338159,8202415,4924478,6542098,3355415
11,0.76982,9357885,5533753,7462771,3887102
12,0.835415,9305994,4050065,7484542,2364147
13,0.768803,9154136,5376205,7197264,3707643
14,0.755155,9399384,5572626,7368467,3787609
15,0.78036,9148040,5369575,7173315,3687147
16,0.933322,9220800,3848368,7535106,2296756
17,0.769276,9145252,5369033,7177170,3697016
18,0.82824,9161005,5395827,6761192,3439813
19,0.781991,9139100,5364401,7164333,3684379
20,0.898883,9776202,5669201,8241271,4345166
21,0.866651,9316126,4099744,7450015,2385635
22,0.804503,9274999,5486953,7774033,4153474
23,0.793986,9360636,5566432,7480350,3868844
24,0.761442,9361969,5536216,7449429,3870536
25,0.76986,9383451,5586814,7505270,3880849
26,0.821585,9154634,5394881,6764950,3446307
27,0.782677,9147241,5369913,7174521,3688700
28,0.776939,9361334,5571444,7502744,3887160
29,0.824815,9169145,5406795,6750972,3429479
30,0.796876,9272956,5486723,7770711,4147257
31,0.775,9360668,5565540,7493275,3875080
32,0.882586,9301784,4077808,7428938,2357790
33,0.797814,9274406,5484357,7773219,4145640
34,0.82975,8995541,5092037,8374127,4514387
35,0.791634,9393216,5584417,7532056,3895622
36,0.779725,9360861,5570170,7493550,3880392
37,0.797127,9275380,5486239,7778376,4152220
38,0.76708,9161003,5383298,7155303,3666054
39,0.751889,9336645,5511157,7532948,3949805
40,0.811969,9158260,5398225,6778135,3456088
41,0.87662,9293380,3979345,7505478,2323035
42,0.796356,9274832,5485716,7771957,4145630
43,1.08553,9680110,5206208,7263566,2928604
44,0.923733,9196558,3869406,7501801,2313974
45,0.917781,9190424,3842586,7515370,2306322
47,0.815899,9163452,5400628,6792053,3465442
48,0.874723,9289495,3978580,7508100,2329316
49,0.798986,9274568,5487638,7776530,4152312
50,0.770989,9371044,5576655,7515403,3890980
51,0.833038,9001047,5095255,8367847,4507503
52,0.75838,9370668,5544351,7428961,3848931
53,0.773127,9360059,5571126,7502593,3887087
54,0.746998,9380924,5559300,7383761,3816773
55,0.813459,9164612,5399901,6788340,3462382
56,0.922503,9206094,3908307,7472462,2314095
57,0.793681,9273829,5486695,7776013,4151438
58,0.330467,8259000,4922422,6511745,3293155
59,0.786175,9358859,5565775,7488297,3873449
60,0.806808,9273465,5486179,7777495,4153092
61,0.890662,9276159,4021023,7429994,2327080
62,0.823867,9156643,5393904,6757746,3441273
63,0.798588,9273550,5484878,7765104,4139018
64,0.337294,8195442,4920801,6548853,3365238
65,1.10294,9685761,5206789,7261707,2916847
66,0.814309,9268799,5480067,7768996,4142402
67,0.776582,9141046,5367407,7142712,3665822
68,0.830474,8993902,5087801,8371835,4509338
69,0.337794,8200551,4923614,6543002,3357506
70,0.821515,9155138,5395961,6774481,3454558
71,0.775293,9365868,5571094,7501720,3882019
72,0.932994,8582095,3598161,6417100,1636545
73,0.660393,10493428,5110368,7410976,2300864
74,0.782702,9144865,5366340,7165684,3681015
75,0.829413,9160494,5396786,6757023,3440132
76,0.867029,9752396,5653320,8237417,4347163
77,0.773938,9154096,5376863,7202232,3711428
78,0.338186,8191865,4918867,6544433,3362116
79,0.812702,9159535,5396159,6766551,3446921
80,0.834495,9001290,5094936,8370528,4509424
81,0.757523,9319961,5490971,7533534,3957122
82,0.786213,9143537,5365914,7153491,3673285
83,0.783087,9371877,5577969,7485011,3867640
84,0.762532,9393679,5568276,7383249,3800896
85,0.851205,9261329,3990906,7483270,2344543
86,0.835382,9001019,5093476,8372052,4509354
87,0.74922,9356769,5529723,7513387,3929335
88,0.83404,8996093,5088809,8373978,4510286
89,0.793022,9376844,5578415,7499083,3872729
90,0.802748,9275464,5485272,7778707,4151519
91,0.748542,9413179,5584405,7386764,3798773
92,0.779146,9143633,5368263,7162929,3682058
93,0.33797,8187937,4916653,6534662,3354206
94,0.89889,9778077,5670421,8248005,4349927
95,0.758609,9371781,5550265,7384275,3816682
96,0.756439,9381494,5559450,7420831,3843328
97,0.754167,9735443,5652893,8235979,4359357
98,0.791052,9376304,5576341,7480816,3855306
99,0.815007,9275866,5483832,7771669,4142298
100,1.1004,9682563,5205221,7264320,2923962
101,0.771003,9338303,5506601,7506124,3925184
102,0.774048,9155274,5376917,7200605,3708792
103,1.08378,9675224,5204809,7259928,2925916
104,0.832641,9002552,5095714,8369565,4508295
105,0.939398,9237542,3879457,7529702,2306498
